18:37:08:583 [ALWAYS]	GUDE Logging Started
18:37:08:583 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
18:37:08:583 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
18:37:08:583 [ERROR]	Initialize resume cache pointer failure
18:37:08:585 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
18:37:08:585 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
18:37:11:528 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
18:37:11:528 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
18:37:11:528 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
18:37:11:528 [ERROR]	Initialize resume cache pointer failure
18:37:11:529 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
18:37:11:529 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
